1879721998921Donut3218y3829132813y1Muffin010101021Filter
0192929299830000001Muffin
           012890000001Muffin
             0980000180Filter
          989897180Filter
      09032178740200	Latte
     868967867860180tFilter
 2716387216387120120	*3Muffin
01207897899879877899	          MUFFIN
0180     78654321673	           LATTE
0198    309909221312	           LATTE
0162      8787676787	          FILTER
0102    878799999999	          MUFFIN
0188    331231231231	           LATTE
0153      8888888888	          FILTER
0135    232131232112	           DONUT
